,created_date,dominant_topic,dominant_topic_keywords,count
0,2022-12-18,topic3,"love, day, thank, celebrity, asian, acoty, junghoseok, acotyjunghoseok, netizensreport, darling",56
1,2022-12-18,topic4,"life, new, world, never, yes, people, cup, morocco, make, love",236
2,2022-12-18,topic6,"morning, good, friend, happiness, right, evening, thanks, day, take, night",176
3,2022-12-18,topic2,"like, happy, much, birthday, love, best, well, back, feel, great",287
4,2022-12-18,topic5,"god, respect, africa, mind, many, money, protect, arab, put, change",41
5,2022-12-18,topic0,"photo, posted, let, english, video, know, free, hates, grave, check",161
6,2022-12-18,topic1,"correct, best, twitter, mood, club, goat, see, king, remember, mil",65
7,2022-12-17,topic1,"correct, best, twitter, mood, club, goat, see, king, remember, mil",34
8,2022-12-17,topic2,"like, happy, much, birthday, love, best, well, back, feel, great",228
9,2022-12-17,topic4,"life, new, world, never, yes, people, cup, morocco, make, love",164
10,2022-12-17,topic5,"god, respect, africa, mind, many, money, protect, arab, put, change",39
11,2022-12-17,topic3,"love, day, thank, celebrity, asian, acoty, junghoseok, acotyjunghoseok, netizensreport, darling",70
12,2022-12-17,topic0,"photo, posted, let, english, video, know, free, hates, grave, check",129
13,2022-12-17,topic6,"morning, good, friend, happiness, right, evening, thanks, day, take, night",168
14,2022-12-16,topic5,"god, respect, africa, mind, many, money, protect, arab, put, change",39
15,2022-12-16,topic1,"correct, best, twitter, mood, club, goat, see, king, remember, mil",26
16,2022-12-16,topic4,"life, new, world, never, yes, people, cup, morocco, make, love",133
17,2022-12-16,topic0,"photo, posted, let, english, video, know, free, hates, grave, check",142
18,2022-12-16,topic3,"love, day, thank, celebrity, asian, acoty, junghoseok, acotyjunghoseok, netizensreport, darling",56
19,2022-12-16,topic6,"morning, good, friend, happiness, right, evening, thanks, day, take, night",136
20,2022-12-16,topic2,"like, happy, much, birthday, love, best, well, back, feel, great",199
21,2022-12-15,topic4,"life, new, world, never, yes, people, cup, morocco, make, love",186
22,2022-12-15,topic1,"correct, best, twitter, mood, club, goat, see, king, remember, mil",34
23,2022-12-15,topic5,"god, respect, africa, mind, many, money, protect, arab, put, change",39
24,2022-12-15,topic2,"like, happy, much, birthday, love, best, well, back, feel, great",228
25,2022-12-15,topic0,"photo, posted, let, english, video, know, free, hates, grave, check",111
26,2022-12-15,topic3,"love, day, thank, celebrity, asian, acoty, junghoseok, acotyjunghoseok, netizensreport, darling",57
27,2022-12-15,topic6,"morning, good, friend, happiness, right, evening, thanks, day, take, night",123
28,2022-12-14,topic1,"correct, best, twitter, mood, club, goat, see, king, remember, mil",32
29,2022-12-14,topic6,"morning, good, friend, happiness, right, evening, thanks, day, take, night",189
